Topic	Use	URL
Brain	1	https://www.semanticscholar.org/paper/A-label-free-fiber-optic-SPR-biosensor-for-specific-Wang-Mai/2bfad7ebe1a795af4c517ace652525ce7855aa99?utm_source=direct_link
Brain	1	https://www.semanticscholar.org/paper/Emerging-Applications-of-Optical-Fiber-Based-for-Nazempour-Zhang/ddbb20642a98c9cf6c32108c626813b1ba0223b7?utm_source=direct_link
Brain	1	https://www.semanticscholar.org/paper/Overview-of-Recent-Advances-in-the-Design-of-Monfared/3fc372b0e8ccbd91278ec3b64162374be3473e1b?utm_source=direct_link
Brain	1	https://www.semanticscholar.org/paper/Recent-Advancements-of-LSPR-Fiber-Optic-Biosensing%3A-Zhang-Zhou/4973b02cbfe5a7f86b27133eda1be3ae518f03e9?utm_source=direct_link
